timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548915503387,224,Http Request /group/customer/dxp/downloads/digital-enterprise/fix-packs,503,Service Unavailable,Thread Group 1-2,text,false,Test failed: code expected to match /200/,291,180,10,10,https://www-prd.liferay.com/group/customer/dxp/downloads/digital-enterprise/fix-packs,224,0,168
1548915503428,224,Http Request /digitally-transform-your-financial-services-business-leveraging-liferay,503,Service Unavailable,Thread Group 1-1,text,false,Test failed: code expected to match /200/,291,194,10,10,https://www-prd.liferay.com/digitally-transform-your-financial-services-business-leveraging-liferay,224,0,170
1548915503077,579,Http Request /c/portal/saml/sso,200,,Thread Group 1-9,text,true,,858,140,10,10,https://www-prd.liferay.com/c/portal/saml/sso,579,0,170
1548915503598,234,Http Request /zh/home,503,Service Unavailable,Thread Group 1-6,text,false,Test failed: code expected to match /200/,291,130,10,10,https://www-prd.liferay.com/zh/home,234,0,170
1548915503653,233,Http Request /group/customer/products/portal/6.2,503,Service Unavailable,Thread Group 1-1,text,false,Test failed: code expected to match /200/,291,157,10,10,https://www-prd.liferay.com/group/customer/products/portal/6.2,233,0,177
1548915502201,1781,Http Request /supporting-products/liferay-sync,200,,Thread Group 1-5,text,true,,266282,155,10,10,https://www-prd.liferay.com/supporting-products/liferay-sync,1563,0,169
1548915503833,226,Http Request /solutions/websites,503,Service Unavailable,Thread Group 1-6,text,false,Test failed: code expected to match /200/,291,141,10,10,https://www-prd.liferay.com/solutions/websites,226,0,169
1548915503982,223,Http Request /marketplace/-/mp/application/34680961,503,Service Unavailable,Thread Group 1-5,text,false,Test failed: code expected to match /200/,291,160,10,10,https://www-prd.liferay.com/marketplace/-/mp/application/34680961,223,0,168
1548915501976,2397,Http Request /fr/home,200,,Thread Group 1-10,text,true,,496223,130,10,10,https://www-prd.liferay.com/fr/home,2123,0,169
1548915504205,227,Http Request /services/support/compatibility-matrix,503,Service Unavailable,Thread Group 1-5,text,false,Test failed: code expected to match /200/,291,160,10,10,https://www-prd.liferay.com/services/support/compatibility-matrix,227,0,171
1548915503412,1155,Http Request /community/forums/-/message_boards/recent-posts,404,,Thread Group 1-7,text,false,Test failed: code expected to match /200/,260616,169,10,10,https://www-prd.liferay.com/community/forums/-/message_boards/recent-posts,938,0,170
1548915504432,226,Http Request /services/training,503,Service Unavailable,Thread Group 1-5,text,false,Test failed: code expected to match /200/,291,140,10,10,https://www-prd.liferay.com/services/training,226,0,171
